Master Transmission Time,Master File Size,Slave Transmission Time,Slave File Size
0.0427,4,0.1815,4
0.5543,9695,0.5929,9695
14.1017,1502860,14.9068,1502860
0.8366,577,0.9822,577
2983.4962,50000000,2988.1175,50000000
0.3331,5000,0.314,5000
0.3402,125000,0.9484,125000
0.3053,10000,0.2273,10000
0.0815,12500,0.2007,12500
1.0891,62500,1.0316,62500
1.2028,250000,1.6031,250000
2.1206,500000,2.9094,500000
966.6901,12500000,970.307,12500000
11.4995,2500000,13.9062,2500000
27.9394,5000000,31.455,5000000
0.1513,25000,0.454,25000
0.0805,125,0.0694,125
0.181,50000,0.4967,50000
0.0138,500,0.1604,500
0.1564,6250,0.1238,6250
5985.0057,100000000,5989.084,100000000
0.1011,1000,0.0636,1000
0.0264,2500,0.1238,2500
0.0188,1250,0.1193,1250
7.9717,1250000,8.7814,1250000
6.6045,1000000,7.3096,1000000
0.1258,250,0.0737,250
0.0152,625,0.1045,625
1939.9048,25000000,1943.7355,25000000
0.6607,100000,1.0101,100000
53.5844,10000000,57.9605,10000000
