Master Transmission Time,Master File Size,Slave Transmission Time,Slave File Size
1039.2476,50000000,1041.7222,50000000
0.1317,5000,0.2348,5000
0.4692,125000,0.5746,125000
0.1808,10000,0.0764,10000
0.0573,12500,0.2208,12500
0.6589,250000,0.953,250000
1.3454,500000,1.8557,500000
36.3539,12500000,39.0286,12500000
5.1753,2500000,7.2714,2500000
11.5161,5000000,14.2413,5000000
0.1624,25000,0.1545,25000
0.0244,125,0.0255,125
0.1992,50000,0.2387,50000
0.0366,500,0.0245,500
3916.1516,100000000,3919.3067,100000000
0.0784,1000,0.0273,1000
0.0408,2500,0.1145,2500
0.1039,1250,0.0246,1250
2.4509,1250000,3.4761,1250000
2.0035,1000000,2.862,1000000
0.0194,250,0.0186,250
975.0148,25000000,977.5709,25000000
0.2999,100000,0.5859,100000
928.3697,10000000,931.5153,10000000
