Master Transmission Time,Master File Size,Slave Transmission Time,Slave File Size
1007.1646,50000000,1010.7739,50000000
0.0874,5000,0.0358,5000
0.1867,125000,0.2605,125000
0.0434,10000,0.0524,10000
0.037,12500,0.0568,12500
0.3771,250000,0.6382,250000
1.3058,500000,1.439,500000
975.6382,12500000,932.5263,12500000
5.3164,2500000,6.9301,2500000
14.316,5000000,15.3527,5000000
0.0588,25000,0.0914,25000
0.0147,125,0.03,125
0.0866,50000,0.1311,50000
0.0145,500,0.0256,500
2953.8078,100000000,2954.4764,100000000
0.0234,1000,0.0281,1000
0.0305,2500,0.0424,2500
0.0325,1250,0.0366,1250
2.5005,1250000,4.1476,1250000
3.7117,1000000,3.7589,1000000
0.0274,250,0.0241,250
957.3023,25000000,960.5947,25000000
0.163,100000,5.0904,100000
22.5829,10000000,26.4991,10000000
